subject,idna_subject,expiration_date,epoch,registrar
doubleclick.net,doubleclick.net,17-jan-2024,1705449600.0,MarkMonitor Inc.
googlesyndication.com,googlesyndication.com,21-jan-2024,1705795200.0,MarkMonitor Inc.
googletagmanager.com,googletagmanager.com,11-nov-2023,1699660800.0,MarkMonitor Inc.
googletagservices.com,googletagservices.com,17-dec-2023,1702771200.0,MarkMonitor Inc.
googleadservices.com,googleadservices.com,19-jun-2024,1718755200.0,MarkMonitor Inc.
google-analytics.com,google-analytics.com,18-jul-2024,1721260800.0,MarkMonitor Inc.
googleanalytics.com,googleanalytics.com,26-jan-2024,1706227200.0,MarkMonitor Inc.
googleoptimize.com,googleoptimize.com,06-apr-2024,1712361600.0,MarkMonitor Inc.
admob-cn.com,admob-cn.com,07-apr-2024,1712448000.0,"eName Technology Co., Ltd."
2mdn-cn.net,2mdn-cn.net,07-apr-2024,1712448000.0,"eName Technology Co., Ltd."
doubleclick-cn.net,doubleclick-cn.net,07-apr-2024,1712448000.0,"MarkMonitor Information Technology (Shanghai) Co., Ltd."
google-analytics-cn.com,google-analytics-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googleadservices-cn.com,googleadservices-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googleads-cn.com,googleads-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googleoptimize-cn.com,googleoptimize-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googletagservices-cn.com,googletagservices-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googletagmanager-cn.com,googletagmanager-cn.com,13-apr-2024,1712966400.0,"eName Technology Co., Ltd."
googlevads-cn.com,googlevads-cn.com,19-apr-2024,1713484800.0,"eName Technology Co., Ltd."
app-measurement.com,app-measurement.com,19-jun-2024,1718755200.0,MarkMonitor Inc.
googleadsserving.cn,googleadsserving.cn,10-apr-2024,1712707200.0,厦门易名科技股份有限公司
atdmt.com,atdmt.com,17-aug-2031,1944691200.0,"RegistrarSafe, LLC"
assoc-amazon.com,assoc-amazon.com,16-jul-2024,1721088000.0,MarkMonitor Inc.
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0,MarkMonitor Inc.
amazon-adsystems.com,amazon-adsystems.com,16-sep-2024,1726444800.0,MarkMonitor Inc.
ads-twitter.com,ads-twitter.com,26-may-2024,1716681600.0,MarkMonitor Inc.
admob.com,admob.com,07-dec-2023,1701907200.0,MarkMonitor Inc.
